SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Livermore,716,523,514,527,525,588,496,529,449,395,517,426,"6,205",2000
Miami,401,342,493,375,562,614,461,613,483,639,543,711,"6,237",2000
New Orleans,559,626,333,596,684,"1,000",581,507,375,262,392,563,"6,478",2000
Ramey,221,102,115,142,28,71,63,202,124,99,284,280,"1,731",2000
Blaine,246,184,177,228,204,226,200,311,229,196,197,183,"2,581",2000
Buffalo,168,106,61,80,65,117,117,110,109,185,219,233,"1,570",2000
Detroit,213,145,191,190,183,227,169,146,138,165,130,160,"2,057",2000
Grand Forks,68,30,20,33,33,71,44,57,57,36,48,65,562,2000
Havre,73,82,80,122,78,100,190,246,129,120,178,170,"1,568",2000
Houlton,51,37,32,25,42,25,30,30,25,45,105,42,489,2000
Spokane,112,103,65,92,100,95,80,102,118,156,154,147,"1,324",2000
Swanton,153,111,125,97,87,108,132,118,140,370,374,142,"1,957",2000
"Big Bend
(formerly Marfa)",891,"1,111","1,192","1,093","1,675","1,597","1,272","1,154",885,921,998,900,"13,689",2000
Del Rio,"8,161","6,812","5,118","20,354","24,706","24,416","18,145","13,443","7,820","9,373","10,132","8,698","157,178",2000
El Centro,"13,761","11,035","8,882","21,924","31,072","33,301","26,534","27,460","20,071","15,820","15,018","13,248","238,126",2000
El Paso,"6,386","5,203","4,651","14,914","15,049","16,018","12,883","10,645","7,637","7,533","8,106","6,671","115,696",2000
Laredo,"6,962","6,058","4,477","13,794","14,745","15,549","11,174","9,707","6,436","6,760","6,971","6,340","108,973",2000
"Rio Grande Valley
(formerly McAllen)","8,416","7,371","5,808","15,443","16,814","17,995","15,005","12,390","7,764","9,842","9,073","7,322","133,243",2000
San Diego,"9,046","7,620","5,978","15,363","20,204","18,279","16,751","16,615","13,186","10,630","9,356","8,653","151,681",2000
Tucson,"32,384","25,767","30,182","70,632","73,506","76,245","65,213","62,555","44,341","46,849","47,905","40,767","616,346",2000
Yuma,"5,403","5,219","4,964","12,462","13,557","16,663","13,073","12,327","6,953","6,228","6,753","5,145","108,747",2000
Coastal Border,"1,897","1,593","1,455","1,640","1,799","2,273","1,601","1,851","1,431","1,395","1,736","1,980","20,651",2000
Northern Border,"1,084",798,751,867,792,969,962,"1,120",945,"1,273","1,405","1,142","12,108",2000
Southwest Border,"91,410","76,196","71,252","185,979","211,328","220,063","180,050","166,296","115,093","113,956","114,312","97,744","1,643,679",2000
Monthly Total,"94,391","78,587","73,458","188,486","213,919","223,305","182,613","169,267","117,469","116,624","117,453","100,866","1,676,438",2000
Livermore,532,449,360,403,407,463,443,482,463,436,406,367,"5,211",2001
Miami,338,590,481,483,452,392,399,503,607,735,532,450,"5,962",2001
New Orleans,315,306,396,358,634,446,740,377,346,402,354,359,"5,033",2001
Ramey,399,285,187,418,79,73,19,117,94,107,101,73,"1,952",2001
Blaine,179,168,151,141,159,175,145,194,231,192,186,168,"2,089",2001
Buffalo,203,85,74,87,81,116,89,137,134,165,156,107,"1,434",2001
