SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Livermore,716,523,514,527,525,588,496,529,449,395,517,426,6205,2000
Miami,401,342,493,375,562,614,461,613,483,639,543,711,6237,2000
New Orleans,559,626,333,596,684,1000,581,507,375,262,392,563,6478,2000
Ramey,221,102,115,142,28,71,63,202,124,99,284,280,1731,2000
Blaine,246,184,177,228,204,226,200,311,229,196,197,183,2581,2000
Buffalo,168,106,61,80,65,117,117,110,109,185,219,233,1570,2000
Detroit,213,145,191,190,183,227,169,146,138,165,130,160,2057,2000
Grand Forks,68,30,20,33,33,71,44,57,57,36,48,65,562,2000
Havre,73,82,80,122,78,100,190,246,129,120,178,170,1568,2000
Houlton,51,37,32,25,42,25,30,30,25,45,105,42,489,2000
Spokane,112,103,65,92,100,95,80,102,118,156,154,147,1324,2000
Swanton,153,111,125,97,87,108,132,118,140,370,374,142,1957,2000
"Big Bend
(formerly Marfa)",891,1111,1192,1093,1675,1597,1272,1154,885,921,998,900,13689,2000
Del Rio,8161,6812,5118,20354,24706,24416,18145,13443,7820,9373,10132,8698,157178,2000
El Centro,13761,11035,8882,21924,31072,33301,26534,27460,20071,15820,15018,13248,238126,2000
El Paso,6386,5203,4651,14914,15049,16018,12883,10645,7637,7533,8106,6671,115696,2000
Laredo,6962,6058,4477,13794,14745,15549,11174,9707,6436,6760,6971,6340,108973,2000
"Rio Grande Valley
(formerly McAllen)",8416,7371,5808,15443,16814,17995,15005,12390,7764,9842,9073,7322,133243,2000
San Diego,9046,7620,5978,15363,20204,18279,16751,16615,13186,10630,9356,8653,151681,2000
Tucson,32384,25767,30182,70632,73506,76245,65213,62555,44341,46849,47905,40767,616346,2000
Yuma,5403,5219,4964,12462,13557,16663,13073,12327,6953,6228,6753,5145,108747,2000
Coastal Border,1897,1593,1455,1640,1799,2273,1601,1851,1431,1395,1736,1980,20651,2000
Northern Border,1084,798,751,867,792,969,962,1120,945,1273,1405,1142,12108,2000
Southwest Border,91410,76196,71252,185979,211328,220063,180050,166296,115093,113956,114312,97744,1643679,2000
Livermore,532,449,360,403,407,463,443,482,463,436,406,367,5211,2001
Miami,338,590,481,483,452,392,399,503,607,735,532,450,5962,2001
New Orleans,315,306,396,358,634,446,740,377,346,402,354,359,5033,2001
Ramey,399,285,187,418,79,73,19,117,94,107,101,73,1952,2001
Blaine,179,168,151,141,159,175,145,194,231,192,186,168,2089,2001
Buffalo,203,85,74,87,81,116,89,137,134,165,156,107,1434,2001
Detroit,132,139,107,195,182,167,157,156,177,195,349,150,2106,2001
Grand Forks,48,23,45,44,66,73,96,85,112,100,144,85,921,2001
Havre,108,67,58,77,136,108,104,97,93,169,175,113,1305,2001
Houlton,40,37,30,54,27,30,24,31,33,153,182,44,685,2001
Spokane,158,114,126,99,100,131,87,95,117,132,109,67,1335,2001
Swanton,126,120,75,101,73,95,109,139,168,543,715,199,2463,2001
