data_date,individuals,first of year
1/19/2012,2749,
1/24/2012,2886,
1/31/2012,3063,
2/14/2012,4013,
3/1/2012,4205,
3/15/2012,5391,
3/22/2012,5886,
3/31/2012,6529,
4/16/2012,9500,
4/18/2012,10189,
4/20/2012,10189,
4/21/2012,10189,
4/23/2012,11748,
4/25/2012,12034,
4/30/2012,13854,
5/1/2012,13938,
5/3/2012,14252,
5/6/2012,14578,
5/7/2012,15108,
5/8/2012,15344,
5/9/2012,15698,
5/14/2012,16919,
5/16/2012,17556,
5/20/2012,18521,
5/21/2012,19011,
5/23/2012,19883,
5/27/2012,20576,
5/28/2012,20982,
5/29/2012,21432,
5/30/2012,21778,
6/5/2012,22643,
6/6/2012,22976,
6/7/2012,22976,
6/10/2012,23757,
6/11/2012,24151,
6/21/2012,26371,
6/24/2012,26731,
6/25/2012,26941,
6/26/2012,27344,
7/3/2012,28934,
7/10/2012,31047,
7/11/2012,31299,
7/12/2012,31873,
7/14/2012,32262,
7/15/2012,32262,
7/16/2012,32841,
7/18/2012,34499,
7/19/2012,34499,
7/22/2012,34736,
7/24/2012,35911,
7/25/2012,36323,
7/26/2012,36600,
7/29/2012,36824,
8/1/2012,37615,
8/2/2012,37448,
8/7/2012,39600,
8/15/2012,42720,
8/16/2012,42934,
8/23/2012,43962,
8/26/2012,44440,
8/27/2012,44924,
8/28/2012,45287,
8/29/2012,45751,
8/30/2012,46111,
9/2/2012,46703,
9/3/2012,47121,
9/5/2012,48014,
9/6/2012,48315,
9/9/2012,48839,
9/10/2012,49236,
9/16/2012,50689,
9/18/2012,51417,
9/19/2012,51962,
9/20/2012,52352,
9/23/2012,52634,
9/24/2012,52866,
9/25/2012,53299,
9/27/2012,53833,
9/30/2012,54448,
10/2/2012,55121,
10/3/2012,55462,
10/10/2012,57092,
10/11/2012,57379,
10/16/2012,58005,
10/17/2012,58320,
10/21/2012,58622,
10/23/2012,59524,
10/24/2012,60089,
11/1/2012,60630,
11/5/2012,61086,
11/6/2012,61356,
11/8/2012,62099,
11/11/2012,62248,
11/12/2012,87167,
11/14/2012,88026,
11/18/2012,91064,
11/22/2012,93497,
11/23/2012,93990,
11/25/2012,94492,
11/27/2012,94566,
11/28/2012,95844,
11/29/2012,96578,
11/30/2012,96982,
12/2/2012,97639,
12/3/2012,98046,
