data_date,individuals,first of year
4/3/2013,259503,
4/4/2013,262960,
4/5/2013,265958,
4/8/2013,269465,
4/9/2013,273530,
4/10/2013,277320,
4/11/2013,281271,
4/12/2013,284942,
4/15/2013,289259,
4/16/2013,293836,
4/17/2013,298165,
4/18/2013,302689,
4/20/2013,311281,
4/22/2013,316301,
4/23/2013,320501,
4/24/2013,325791,
4/25/2013,330736,
4/26/2013,334609,
4/29/2013,339293,
4/30/2013,343843,
5/2/2013,347825,
5/3/2013,350795,
5/7/2013,353757,
5/8/2013,357374,
5/9/2013,360988,
5/10/2013,364153,
5/13/2013,367978,
5/14/2013,371964,
5/15/2013,375624,
5/16/2013,379264,
5/17/2013,382890,
5/20/2013,386922,
5/21/2013,391286,
5/22/2013,395168,
5/23/2013,399203,
5/24/2013,403152,
5/27/2013,407262,
5/28/2013,411966,
5/29/2013,415826,
5/30/2013,420044,
5/31/2013,423495,
6/3/2013,426802,
6/4/2013,430326,
6/5/2013,434079,
6/6/2013,437604,
6/7/2013,440427,
6/10/2013,445043,
6/11/2013,448092,
6/12/2013,451981,
6/13/2013,455658,
6/14/2013,459239,
6/17/2013,462625,
6/18/2013,466460,
6/19/2013,469953,
6/20/2013,473547,
6/21/2013,475353,
6/24/2013,478938,
6/25/2013,481725,
6/26/2013,485167,
6/27/2013,488277,
6/28/2013,490709,
7/1/2013,494244,
7/2/2013,497650,
7/3/2013,500723,
7/4/2013,503724,
7/8/2013,508930,
7/9/2013,511900,
7/10/2013,514727,
7/11/2013,517195,
7/12/2013,519856,
7/15/2013,522480,
7/16/2013,525097,
7/17/2013,527495,
7/18/2013,530416,
7/19/2013,532984,
7/22/2013,535344,
7/23/2013,538600,
7/24/2013,541079,
7/25/2013,543906,
7/26/2013,545747,
7/29/2013,548235,
7/30/2013,551289,
7/31/2013,554108,
8/1/2013,556742,
8/2/2013,558874,
8/5/2013,561520,
8/6/2013,564094,
8/8/2013,566808,
8/9/2013,567469,
8/12/2013,570353,
8/13/2013,573030,
8/14/2013,576281,
8/15/2013,579130,
8/16/2013,581442,
8/19/2013,584608,
8/20/2013,587620,
8/21/2013,589707,
8/22/2013,592607,
8/23/2013,595035,
8/26/2013,597916,
8/27/2013,600910,
8/28/2013,603850,
8/29/2013,606765,
8/31/2013,610916,
9/2/2013,613806,
9/3/2013,616611,
9/4/2013,619245,
9/5/2013,622249,
9/6/2013,624428,
9/9/2013,627202,
9/12/2013,636000,
9/14/2013,639367,
9/16/2013,642376,
9/17/2013,645381,
9/18/2013,647891,
9/21/2013,654115,
9/23/2013,656788,
9/24/2013,659645,
9/27/2013,667322,
9/30/2013,670235,
10/1/2013,672945,
10/2/2013,675594,
10/3/2013,678140,
10/4/2013,680734,
10/7/2013,683599,
10/8/2013,686823,
10/9/2013,689051,
10/10/2013,691906,
10/14/2013,695354,
10/16/2013,697741,
10/17/2013,700353,
10/19/2013,702934,
10/21/2013,705356,
10/22/2013,707990,
10/23/2013,710587,
10/24/2013,713653,
10/25/2013,715122,
10/28/2013,717631,
10/29/2013,720021,
10/31/2013,725258,
11/1/2013,725843,
11/2/2013,727311,
11/5/2013,729186,
11/6/2013,726215,
11/7/2013,721048,
11/8/2013,723332,
11/11/2013,726402,
11/12/2013,729928,
11/13/2013,732812,
11/14/2013,735204,
11/15/2013,737871,
11/18/2013,739764,
11/19/2013,742654,
11/20/2013,744354,
11/21/2013,746956,
11/25/2013,749972,
11/26/2013,752624,
11/27/2013,755544,
11/28/2013,758771,
11/30/2013,762242,
12/2/2013,764124,
12/3/2013,766469,
12/4/2013,768857,
12/5/2013,771536,
12/6/2013,773694,
12/9/2013,775613,
12/10/2013,778136,
12/11/2013,780418,
12/12/2013,782457,
12/14/2013,785079,
12/16/2013,787886,
12/18/2013,792347,
12/19/2013,793227,
12/23/2013,797405,
12/26/2013,800634,
12/27/2013,802744,
12/30/2013,804848,
12/31/2013,805835,
1/2/2014,807940,807940
1/3/2014,809064,
1/6/2014,811594,
1/7/2014,813926,
1/8/2014,816432,
1/9/2014,819239,
1/10/2014,820897,
1/14/2014,823868,
1/15/2014,826669,
1/16/2014,828953,
1/18/2014,831131,
1/20/2014,833637,
1/21/2014,836172,
1/22/2014,839179,
1/23/2014,841942,
1/24/2014,844021,
1/27/2014,846724,
1/28/2014,849565,
1/29/2014,852172,
1/30/2014,854352,
1/31/2014,856522,
2/3/2014,859283,
2/4/2014,862231,
2/5/2014,864944,
2/6/2014,867431,
2/7/2014,869443,
2/10/2014,871849,
2/11/2014,874195,
2/12/2014,877282,
2/13/2014,879907,
2/14/2014,881755,
2/17/2014,879860,
2/18/2014,882204,
2/19/2014,883744,
2/20/2014,886085,
2/21/2014,887976,
2/24/2014,890694,
2/26/2014,895647,
2/27/2014,898271,
2/28/2014,899633,
3/3/2014,901750,
3/4/2014,903828,
3/5/2014,906162,
3/6/2014,907678,
3/7/2014,910222,
3/10/2014,912492,
3/11/2014,915095,
3/12/2014,917307,
3/13/2014,919124,
3/15/2014,921801,
3/17/2014,924111,
3/18/2014,926353,
3/19/2014,928588,
3/20/2014,931133,
3/22/2014,933225,
3/24/2014,935821,
3/25/2014,938556,
3/26/2014,940963,
3/27/2014,943375,
3/28/2014,944494,
3/31/2014,945922,
4/1/2014,948575,
4/2/2014,951033,
4/3/2014,953626,
4/5/2014,956190,
4/7/2014,958725,
4/8/2014,961315,
4/9/2014,964063,
4/10/2014,966267,
4/12/2014,969247,
4/14/2014,971848,
4/15/2014,974473,
